年,一级品类,二级品类,三级品类,品牌,商品名,商品ID,销量(件),销售额(元),均价(元)
2020,彩妆香水,面部彩妆,粉底液,烙色 Lac,LAC烙色丝润高定粉底液遮瑕保湿控油持妆提亮养肤不易脱妆,619798260346,27823,1499000,53.9
2020,彩妆香水,面部彩妆,粉底液,植村秀 Shu-uemura,植村秀小灯泡塑颜光感粉底液自然上妆微光裸妆遮瑕官方正品,528472336350,5993,1491780,248.9
2020,彩妆香水,面部彩妆,粉底液,伊露莹,【限时优惠 第二件0元 拍2件】ERUYN 幻彩水润遮瑕隔离霜裸妆自然,610904534444,20989,1479888,70.5
2020,彩妆香水,面部彩妆,粉底液,珂拉琪 Color Key,colorkey珂拉琪光采持妆粉底液遮瑕保湿持久控油裸妆油干皮亲妈,618490434139,23696,1472576,62.1
2020,彩妆香水,面部彩妆,粉底液,宝拉珍选 Paula's Choice,【预售】宝拉珍选清透修色隔离粉底液SPF30控油清爽物理防晒隔离,609503480367,7207,1469706,203.9
2020,彩妆香水,面部彩妆,粉底液,Blank Me,【雪梨粉丝节盛典】Blank ME小黑盒带替换粉底霜干皮混干奶油肌,623010022356,4454,1465366,329
2020,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,美宝莲粉底液superstay巨持妆遮瑕保湿持久控油李佳琦推荐旗舰店,618015532080,10640,1460420,137.3
2020,彩妆香水,面部彩妆,粉底液,植村秀 Shu-uemura,【直播专属】植村秀小方瓶羽纱持妆粉底液35ml 控油自然遮瑕O,617689096343,3560,1459600,410
2020,彩妆香水,面部彩妆,粉底液,魅可 M.a.c,【官方正品】MAC/魅可定制水漾轻盈粉底液滴管保湿持久不易脱妆,546683600984,3816,1450080,380
2020,彩妆香水,面部彩妆,粉底液,Blank Me,Blank ME小银盒气垫粉底霜4合1套装带替换混油皮亲妈,617622013808,4284,1449856,338.4
2020,彩妆香水,面部彩妆,粉底液,珂拉琪 Color Key,colorkey珂拉琪养肤蛋蛋粉底液遮瑕干油皮bb霜奶油肌正品,615631736407,13272,1441536,108.6
2020,彩妆香水,面部彩妆,粉底液,玛丽黛佳 Marie Dalgar,玛丽黛佳九色肌有底气粉底液遮瑕保湿持久油皮控油不易脱色,596729608989,10497,1438213,137
2020,彩妆香水,面部彩妆,粉底液,阿妮 Anu,【新品上市】ANU阿奴养肤精萃持妆粉底液提亮遮瑕清爽型不脱妆,619321634144,10405,1418651,136.3
2020,彩妆香水,面部彩妆,粉底液,兰蔻 Lancome,Lancome/兰蔻新持妆粉底液PO-01,612297323579,4752,1414858,297.7
2020,彩妆香水,面部彩妆,粉底液,INTEGRATE,资生堂 INTEGRATE 完美意境保湿粉底霜 25g 二色可选,604768204136,15398,1408145,91.4
2020,彩妆香水,面部彩妆,粉底液,珀莱雅 Proya,珀莱雅粉底液遮瑕保湿持久干皮油皮亲妈李佳琦推荐官方旗舰店正品,597523420014,19605,1403454,71.6
2020,彩妆香水,面部彩妆,粉底液,珂芙缦 Covermark,Covermark傲丽进口中草药膏粉底霜遮瑕粉底霜保湿防晒提亮 30g,603267347153,3685,1399990,379.9
2020,彩妆香水,面部彩妆,粉底液,泰芮 By Terry,BY TERRY/泰芮官方正品天鹅绒控油保湿持久遮瑕粉底液奶油肌35ml,601963799765,3494,1390193,397.9
2020,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,美宝莲官方旗舰店fitme粉底液干皮救星遮瑕滋润,634861606467,10000,1390000,139
2020,彩妆香水,面部彩妆,粉底液,毛戈平 Maogeping,毛戈平奢华鱼子无瑕气垫粉底液8g女  遮瑕裸妆保湿底妆化妆师专用,571551537940,6808,1377664,202.4
2020,彩妆香水,面部彩妆,粉底液,爱敬 爱纪二十之 Aekyung Age 20's,爱敬气垫bb霜提亮遮瑕韩国age20s官方正品保湿控油全能粉底旗舰店,617836006661,10345,1376228,133
2020,彩妆香水,面部彩妆,粉底液,肌琳莎,肌琳莎粉底液遮瑕保湿持久水润自然控油轻薄透气BB霜女,616662606542,139006,1376159,9.9
2020,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,美宝莲fitme粉底液遮瑕保湿控油持久fit me李佳琦推荐油皮旗舰店,575616899889,14111,1374477,97.4
2020,彩妆香水,面部彩妆,粉底液,妙巴黎 Bourjois,BOURJOIS妙巴黎官方正品果然矿物粉底液水润轻薄遮盖瑕疵,564793838558,11204,1371528,122.4
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【直播专属】Armani/阿玛尼大师造型紧颜粉底液轻薄持妆遮瑕*,616677462919,2177,1371510,630
2020,彩妆香水,面部彩妆,粉底液,完美日记 Perfect Diary,完美日记小黑盖粉底液保湿遮瑕控油持久bb霜膏女学生平价正品,589805375443,23727,1370421,57.8
2020,彩妆香水,面部彩妆,粉底液,vnk,vnk云朵粉霜持久遮瑕保湿粉底液修饰提亮肤色妆乳油皮粉底霜正品,611247093832,13881,1338703,96.4
2020,彩妆香水,面部彩妆,粉底液,露华浓 Revlon,露华浓粉底液美国Revlon女保湿遮瑕BB霜24小时持久美白官方旗舰店,570450584773,21760,1322760,60.8
2020,彩妆香水,面部彩妆,粉底液,卡姿兰 Carslan,[预售]卡姿兰粉底液遮瑕保湿持久控油不易脱妆干油皮亲妈,628786611594,15360,1315924,85.7
2020,彩妆香水,面部彩妆,粉底液,INTEGRATE,日本Shiseido资生堂完美意境粉底液霜奶油肌持久遮瑕提亮轻薄隔离,613998650418,16519,1307119,79.1
2020,彩妆香水,面部彩妆,粉底液,兰蔻 Lancome,【直播专享】兰蔻菁纯臻颜精华粉底液30ml遮瑕防晒保湿BB霜W,530385187127,1416,1302720,920
2020,彩妆香水,面部彩妆,粉底液,圣罗兰 Yves Saint Laurent（ysl）,正品 YSL圣罗兰恒颜无瑕轻垫粉底液 银气垫持久遮瑕,617215695669,2550,1300500,510
2020,彩妆香水,面部彩妆,粉底液,资生堂 Shiseido,日本Shiseido资生堂完美意境粉底液霜奶油肌持久遮瑕提亮轻薄隔离,574441718366,15889,1293213,81.4
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,ARMANI/阿玛尼黑气垫权力粉底霜遮瑕不脱妆持久油皮,624736954248,1936,1277760,660
2020,彩妆香水,面部彩妆,粉底液,美康粉黛,美康粉黛鸣艳养肤粉底乳套装A29,617294010408,4986,1274683,255.7
2020,彩妆香水,面部彩妆,粉底液,雅诗兰黛 Estee Lauder,【新品】雅诗兰黛DW持妆柔雾气垫 遮瑕防晒 控油持久 清透贴肤,622359600864,3034,1274280,420
2020,彩妆香水,面部彩妆,粉底液,肌琳莎,【活动中】    遮瑕奶油肌粉底液,616914779960,28908,1268531,43.9
2020,彩妆香水,面部彩妆,粉底液,兰蔻 Lancome,【双11抢购】兰蔻净澈透亮粉底液水润持妆提亮肤色官方正品,629258374266,2570,1259300,490
2020,彩妆香水,面部彩妆,粉底液,肌肤之钥 Cle de peau beaute,【狂欢最后1小时】肌肤之钥CPB粉霜 晶钻润耀粉霜粉底液贵妇粉底,617731975383,545,1253500,2300
2020,彩妆香水,面部彩妆,粉底液,至颜之冠 Keycrown,keycrown/至颜之冠赋元养肤小金冠粉底液保湿遮瑕自然裸妆奶油肌,614820252728,6546,1251246,191.1
2020,彩妆香水,面部彩妆,粉底液,真绣文 Sammi,sammi第二支10元 香港发货 美丽容颜粉底液 遮瑕保湿,607117915013,5469,1250923,228.7
2020,彩妆香水,面部彩妆,粉底液,玛丽黛佳 Marie Dalgar,玛丽黛佳小蘑菇头气垫cc霜正品遮瑕保湿持久补水bb霜粉底液旗舰店,546630859930,11670,1248420,107
2020,彩妆香水,面部彩妆,粉底液,香奈儿 美妆 Chanel,【官方正品】CHANEL 香奈儿泡泡水粉底 水感清透 无瑕妆效,594910135223,1716,1235520,720
2020,彩妆香水,面部彩妆,粉底液,真绣文 Sammi,【品牌日】Sammi 美丽容颜粉底液 遮瑕保湿 华丽隐形隔离霜,622385401250,1668,1234153,739.9
2020,彩妆香水,面部彩妆,粉底液,雅诗兰黛 Estee Lauder,雅诗兰黛 白金级养肤粉底液 神仙粉底光感细腻 服帖遮瑕,540819866801,1324,1206840,911.5
2020,彩妆香水,面部彩妆,粉底液,泰芮 By Terry,【专享】BY TERRY/泰芮天鹅绒控油保湿持久遮瑕粉底液奶油肌,614132813242,3017,1206287,399.8
2020,彩妆香水,面部彩妆,粉底液,泰芮 By Terry,【推荐】BY TERRY/泰芮官方正品天鹅绒控油遮瑕粉底液奶油肌35ml,625188106840,2659,1196550,450
2020,彩妆香水,面部彩妆,粉底液,妙巴黎 Bourjois,法国妙巴黎粉底液果疗果然奶油肌遮瑕持久保湿干皮官方旗舰店官网,596502902204,21682,1184808,54.6
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【10.21提前加购】阿玛尼柔亮自然粉底液细腻轻薄奶油肌自然,562194331925,2019,1172760,580.9
2020,彩妆香水,面部彩妆,粉底液,薇诺娜 Winona,【新品】薇诺娜安心舒缓保湿精华粉底液30ml 干敏感肌本命粉底液,625614638135,6495,1162329,179
2020,彩妆香水,面部彩妆,粉底液,CROXX,croxx云梦轻雾粉底液霜保湿遮瑕自然裸妆持久控油提亮肤色不脱妆,578511967322,12859,1159109,90.1
2020,彩妆香水,面部彩妆,粉底液,蜜丝佛陀 Maxfactor,蜜丝佛陀三合一粉底液膏妆前乳隔离防晒持久遮瑕裸妆轻薄保湿正品,44245002617,6740,1157867,171.8
2020,彩妆香水,面部彩妆,粉底液,完美日记 Perfect Diary,【主播力荐 】完美日记磨皮小金盖粉底液持久遮瑕控油,600859352930,11505,1156168,100.5
2020,彩妆香水,面部彩妆,粉底液,妙巴黎 Bourjois,法国包邮bourjois妙巴黎粉底液果然果疗粉底霜保湿持久遮瑕美白,556718288660,21341,1155893,54.2
2020,彩妆香水,面部彩妆,粉底液,娇韵诗 Clarins,娇韵诗轻润无瑕气垫粉底持久不脱妆遮瑕水润熬夜,582528473792,4119,1153320,280
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【官方正品】Armani阿玛尼红气垫菁华粉底液遮瑕保湿持妆控油丝光,623735072543,1827,1151010,630
2020,彩妆香水,面部彩妆,粉底液,蜜丝婷（美诗婷） Mistine,泰国Mistine24小时粉底液密斯婷bb霜控油保湿持久遮瑕油皮 蜜思婷,586606717591,28309,1135231,40.1
2020,彩妆香水,面部彩妆,粉底液,L.A.GIRL,L.A. GIRL洛杉矶女孩粉底液保湿遮瑕控油裸妆la lagirl女学生平价,570205162010,19053,1134585,59.5
2020,彩妆香水,面部彩妆,粉底液,欧莱雅 L'oreal,欧莱雅彩妆复颜提拉紧肤精华粉底液遮瑕BB霜女提亮肤色30ml,563422593629,5026,1130019,224.8
2020,彩妆香水,面部彩妆,粉底液,高姿 Cogi,高姿粉底液遮瑕保湿女学生干皮亲妈水润养肤控油皮平价底妆正品,604432455343,15068,1118992,74.3
2020,彩妆香水,面部彩妆,粉底液,纪梵希 Givenchy,【官方正品】GIVENCHY纪梵希恒颜清透粉底液 柔焦美颜 透亮 遮瑕,563530560832,2359,1108730,470
2020,彩妆香水,面部彩妆,粉底液,凯朵 Kate,KATE/凯朵隐形美肌蜜粉底液油皮保湿遮瑕,623658191376,14192,1096768,77.3
2020,彩妆香水,面部彩妆,粉底液,蜜丝佛陀 Maxfactor,美国MaxFactor蜜丝佛陀进口水漾触感粉底霜粉底液膏保湿遮瑕,557064701938,15483,1093843,70.6
2020,彩妆香水,面部彩妆,粉底液,潮盛雅22 Ver.22 Chosungah,chosungah/潮盛雅22蜂蜜精华扭一扭水光肌粉底液保湿遮瑕提亮颜霜,567641823534,3814,1084299,284.3
2020,彩妆香水,面部彩妆,粉底液,玛丽黛佳 Marie Dalgar,玛丽黛佳小蘑菇头气垫bb霜粉底液cc美颜遮瑕保湿旗舰店李佳琪推荐,547711153391,10136,1081165,106.7
2020,彩妆香水,面部彩妆,粉底液,卡特莲 Katelyn,粉底液遮瑕保湿持久控油奶油肌巨霜干皮亲妈油皮遮盖斑点强膏调色,616084021472,8151,1079747,132.5
2020,彩妆香水,面部彩妆,粉底液,欧莱雅 L'oreal,欧莱雅奇焕光采粉底液女遮瑕不卡纹保湿水润提亮肤色持久自然30ml,582243930916,4729,1068130,225.9
2020,彩妆香水,面部彩妆,粉底液,梵贞 Venzen,【活动中】强遮暇奶油肌粉底液1,610453146478,37414,1067016,28.5
2020,彩妆香水,面部彩妆,粉底液,珀兰娜 Planner,珀兰娜PLANNER绘画粉底液妆前乳套装水润遮瑕持妆平价不脱妆干皮,609366424743,8767,1065468,121.5
2020,彩妆香水,面部彩妆,粉底液,纽西之谜 Geoskincare,纽西之谜粉底液 持妆轻薄自然服帖滋润出水保湿持久干皮养肤控油,626236966627,10851,1056530,97.4
2020,彩妆香水,面部彩妆,粉底液,珂莱欧 Clio,[双11抢购]CLIO珂莱欧遮瑕小金盖气垫粉底液四代升级持妆气垫,628955239064,6362,1051686,165.3
2020,彩妆香水,面部彩妆,粉底液,慕斯女孩 Moxie Girlz,【活动中】 Moxie Girlz 遮瑕奶油肌粉底液2,613538390750,10406,1039279,99.9
2020,彩妆香水,面部彩妆,粉底液,娇韵诗 Clarins,娇韵诗缎光水漾精华粉底液长效遮瑕保湿亮肤不脱妆轻,610070619674,2732,1038160,380
2020,彩妆香水,面部彩妆,粉底液,酵色 Joocyee,JC/Joocyee酵色雾茶粉底液细腻奶茶油皮学生平价遮瑕保湿持久控油,617917436262,12028,1031888,85.8
2020,彩妆香水,面部彩妆,粉底液,蝶翠诗 Dhc,DHC紧致焕肤浓密滋润粉底液SPF25PA++ 40g 保湿型遮盖暗沉提亮,42141086789,6036,1031542,170.9
2020,彩妆香水,面部彩妆,粉底液,纪梵希 Givenchy,【官方正品】GIVENCHY纪梵希高定恒颜持妆粉底液贴心粉底 24h持妆,601135723237,2316,1030620,445
2020,彩妆香水,面部彩妆,粉底液,薇蒂艾儿 Vdl,vdl粉底液遮瑕保湿持久vdl旗舰店官方旗舰韩国粉底液,553222594789,5391,1030238,191.1
2020,彩妆香水,面部彩妆,粉底液,安美 Amy,安美蘑菇气垫CC霜持久控油保湿粉底液膏女遮瑕bb霜网红化妆品,579582676009,13825,1029708,74.5
2020,彩妆香水,面部彩妆,粉底液,兰蔻 Lancome,【今日自播爆款】兰蔻新持妆轻透粉底液30ml 隔离轻薄 遮瑕持久,607670974752,2451,1029420,420
2020,彩妆香水,面部彩妆,粉底液,肌琳莎,【活动中】    遮瑕奶油肌粉底液,616120380023,34039,1017766,29.9
2020,彩妆香水,面部彩妆,粉底液,蜜丝婷（美诗婷） Mistine,【重磅新品】泰国Mistine小蓝盾粉底液 养肤控油遮瑕保湿持久学生,620311590536,12378,1014039,81.9
2020,彩妆香水,面部彩妆,粉底液,Physicians Formula,PF粉底液养肤健康遮瑕控油保湿持久干皮油皮学生平价官方旗舰官网,624824798528,9339,1006747,107.8
2020,彩妆香水,面部彩妆,粉底液,迪奥 美妆 Dior,【官方正品】Dior迪奥花秘瑰萃精华粉底液 玫瑰养肤遮瑕保湿焕亮,619132095939,1005,1005000,1000
2020,彩妆香水,面部彩妆,粉底液,秘姿 Secret Age,韩国秘密时代粉底液三代控油遮瑕保湿持久24小时养肤油皮粉底霜膏,606284528411,5499,993724,180.7
2020,彩妆香水,面部彩妆,粉底液,卡姿兰 Carslan,卡姿兰大咖粉底液干皮养肤遮瑕霜奶油肌保湿控油持久轻润学生正品,579270338595,7324,993401,135.6
2020,彩妆香水,面部彩妆,粉底液,诗佩妮 Spenny,Spenny/诗佩妮粉底液干油皮裸妆遮瑕保湿持久控油 奶油肌底霜平价,613194694809,15525,993326,64
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【官方正品】阿玛尼造型紧颜粉底液大师粉底液紧致持久保湿,563661450486,1568,987840,630
2020,彩妆香水,面部彩妆,粉底液,bareMinerals,bareMinerals贝茗无瑕轻薄矿物养肤粉底液女控油保湿遮瑕持久祼妆,598629672492,4331,986763,227.8
2020,彩妆香水,面部彩妆,粉底液,RMK,RMK水凝柔光粉霜30g 盈润粉底霜保湿控油轻薄持妆奶油肌光泽遮瑕,600425454448,2385,985525,413.2
2020,彩妆香水,面部彩妆,粉底液,RMK,RMK【直营】RMK水凝光采粉底霜30g 实力遮瑕 活润光泽,619398358202,3375,977193,289.5
2020,彩妆香水,面部彩妆,粉底液,YES!IC,yesic粉霜元气无瑕粉底霜养肤小奶罐控油持久遮瑕粉底液,616634715376,5973,972254,162.8
2020,彩妆香水,面部彩妆,粉底液,魅可 M.a.c,【双11加购】MAC/魅可焕采无瑕粉底液遮瑕保湿养肤持久控油,625530738461,3240,972000,300
2020,彩妆香水,面部彩妆,粉底液,悠宜 Unny Club,韩国UNNY官方旗舰粉底液遮瑕沁润油皮不易脱妆学生平价正品进口,597865016633,13019,968425,74.4
2020,彩妆香水,面部彩妆,粉底液,珂芙缦 Covermark,【直营】日本Covermark进口修护粉底霜修饰肤色软管 3色可选20g,562488309772,3542,966057,272.7
2020,彩妆香水,面部彩妆,粉底液,蜜丝婷（美诗婷） Mistine,泰国mistine粉底液24小时BB霜遮瑕保湿控油持久干油皮蜜丝婷正品,600132385802,25242,961561,38.1
2020,彩妆香水,面部彩妆,粉底液,肌琳莎,肌琳莎粉底液遮瑕保湿持久水润自然控油轻薄透气隐形毛孔BB霜女,607905315248,46607,957389,20.5
2020,彩妆香水,面部彩妆,粉底液,ZELENS,ZELENS钻石养肤奶油肌粉底液干皮亲妈24小时遮瑕保湿持久控油age#,620008761842,3301,948016,287.2
2020,彩妆香水,面部彩妆,粉底液,W.Lab,wlab超模粉底液w.lab遮瑕保湿持久控油BB霜干油皮亲妈dw平价学生w,624819875874,11865,937255,79
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【618礼遇】Armani/阿玛尼红气垫精华粉底液遮瑕持久防晒轻薄,563593925937,1486,936180,630
2020,彩妆香水,面部彩妆,粉底液,兰蔻 Lancome,Lancome/兰蔻菁纯精华气垫霜隔离持久遮瑕保湿提亮粉底液,617456220542,1811,934446,516
2020,彩妆香水,面部彩妆,粉底液,悦芙媞 Hapsode,悦芙媞粉底液女遮瑕隔离保湿控油持久cc学生平价粉底液不脱妆正品,604096762205,14455,933751,64.6
2020,彩妆香水,面部彩妆,粉底液,珂芙缦 Covermark,【COVERMARK礼金】傲丽中草粉底霜试色包持久不脱妆防晒遮瑕礼包,622241714225,10251,922590,90
2020,彩妆香水,面部彩妆,粉底液,欧丽源 Oilyoung,欧丽源夏日细闪霜身体高光霜星钻隐形丝袜霜腿部遮瑕美腿,617835110246,30269,920152,30.4
2020,彩妆香水,面部彩妆,粉底液,玫珂菲 Make Up For Ever,【直营】法国MAKE UP FOR EVER玫珂菲进口全新清晰无痕粉底液30ml,557163471387,3312,916373,276.7
2020,彩妆香水,面部彩妆,粉底液,Thea Philo,缇娅菲洛虫草粉底液保湿水润遮瑕提亮滋养修护虫草养肤菁华粉底液,628765318359,7667,910810,118.8
2020,彩妆香水,面部彩妆,粉底液,谜尚 Missha,谜尚气垫bb霜持久遮瑕保湿防晒隔离cc霜控油不脱妆粉底液学生平价,572069541515,10237,905968,88.5
2020,彩妆香水,面部彩妆,粉底液,珂芙缦 Covermark,COVERMARK珂芙缦修护粉底霜30g日本傲丽中草药粉底液持久遮瑕干皮,605312794152,1982,901810,455
2020,彩妆香水,面部彩妆,粉底液,ZFC,ZFC名师系列 润颜无痕粉底液 保湿滋润肌肤 裸妆遮瑕强,525883544349,5354,901727,168.4
2020,彩妆香水,面部彩妆,粉底液,肌肤之钥 Cle de peau beaute,【官方正品】肌肤之钥CPB粉霜 润耀粉霜养肤贵妇粉霜遮瑕,629455134519,391,899300,2300
2020,彩妆香水,面部彩妆,粉底液,魅可 M.a.c,【双11现金礼券】MAC魅可底妆随行2件体验装+双11 50元回购券,626831296324,60207,897084,14.9
2020,彩妆香水,面部彩妆,粉底液,海蓝之谜 Lamer,LA MER海蓝之谜鎏光焕变气垫粉底液 限量版,616815832860,874,892950,1021.7
2020,彩妆香水,面部彩妆,粉底液,肌肤之钥 Cle de peau beaute,CPB/肌肤之钥肌肤之钥CPB光缎粉底霜粉底液钻光遮瑕持久保湿,587160359734,1285,892481,694.5
2020,彩妆香水,面部彩妆,粉底液,嘉利玛 Galimard,嘉利玛虾青素粉底液膏遮瑕BB霜控油保湿持久抗暗沉养肤油皮亲妈,626710652952,10597,890143,84
2020,彩妆香水,面部彩妆,粉底液,法拉塔,【祖艾妈推荐】FALATA 法拉塔玻尿酸轻柔粉底液 遮瑕保湿持久控油,611371301967,4454,881172,197.8
2020,彩妆香水,面部彩妆,粉底液,嘉娜宝 Kanebo,Kanebo/嘉娜宝SENSAI丝光溢彩柔润粉底霜粉底液 持久遮瑕修颜保湿,600399154133,1305,880853,675
2020,彩妆香水,面部彩妆,粉底液,Addiction,ADDICTION晴瘾防晒粉底液30ml水润SPF50轻薄遮瑕,560579547545,3554,874781,246.1
2020,彩妆香水,面部彩妆,粉底液,艾诺碧 Iope,iope气垫bb霜女遮瑕lope美白保湿CC韩国ipoe艾诺碧亦博旗舰店官网,537873542772,5360,872138,162.7
2020,彩妆香水,面部彩妆,粉底液,橘朵 Judydoll,Judydoll橘朵底妆礼盒妆前乳粉底液自然官方旗舰遮瑕保湿控油持久,622352240175,7259,869850,119.8
2020,彩妆香水,面部彩妆,粉底液,雅蔻 Artdeco,【蓝盈莹同款】ARTDECO雅蔻粉底液霜德国小奶瓶持久滋润奶油肌,591683282352,3955,866429,219.1
2020,彩妆香水,面部彩妆,粉底液,兰蔻 Lancome,兰蔻持妆粉底液+气垫CC壳 持久高遮瑕自然妆感,575061667253,1573,865600,550.3
2020,彩妆香水,面部彩妆,粉底液,欧莱雅 L'oreal,【预售】欧莱雅吸油棒油皮亲妈24小时控油粉底液持久遮瑕,564169401638,6574,862341,131.2
2020,彩妆香水,面部彩妆,粉底液,蜜丝婷（美诗婷） Mistine,【套组】Mistine蜜丝婷泰国24小时粉底液2支装控油遮瑕保湿持久,590768745785,8443,858068,101.6
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,Armani/阿玛尼大师造型紧颜粉底液 轻薄持妆遮瑕*,624980475194,1350,850500,630
2020,彩妆香水,面部彩妆,粉底液,Amplitude,Amplitude/AMP清颜粉底液30ml 加享妆前乳15g (3g*5支）,623213232373,1272,847751,666.5
2020,彩妆香水,面部彩妆,粉底液,女优肌 Madre:x,日本Ex:beaute女优肌视觉系高清遮瑕妆容持久滋润粉底液30g,556334734003,7114,840399,118.1
2020,彩妆香水,面部彩妆,粉底液,卡姿兰 Carslan,卡姿兰微雾光持妆特雾粉底液混油皮亲妈非bb霜保湿遮瑕持久不脱妆,590765878414,6307,839007,133
2020,彩妆香水,面部彩妆,粉底液,迪奥 美妆 Dior,Dior/迪奥 凝脂恒久钻肌粉底液 30ml #0N #1N #1CR,618482058327,1950,838570,430
2020,彩妆香水,面部彩妆,粉底液,红地球 Red Earth,日本进口redearth红地球养肤粉底液草本精华持久遮瑕轻薄裸妆正品,621204457454,5587,838326,150
2020,彩妆香水,面部彩妆,粉底液,芭贝拉 Babrea,芭贝拉粉霜粉底液奶油肌巴贝拉babrea遮瑕保湿持久控油旗舰店正品,616164093869,7644,831172,108.7
2020,彩妆香水,面部彩妆,粉底液,麻美 Mamew,日本MAMEW麻美 保湿精华不脱妆养肤粉底液30ml持妆遮瑕油干皮油皮,602268018610,3057,829164,271.2
2020,彩妆香水,面部彩妆,粉底液,Blank Me,Blank ME智能柔光粉底液 持久持妆水油平衡,629219883551,2578,822520,319.1
2020,彩妆香水,面部彩妆,粉底液,毛戈平 Maogeping,毛戈平故宫IP鎏金焕颜气垫粉底液BB霜遮瑕隔离持妆官方正品,602757408677,2449,820811,335.2
2020,彩妆香水,面部彩妆,粉底液,娜斯 Nars,【官方正品】NARS 轻透亮采粉底液轻薄自然保湿遮瑕不易脱妆,570970288482,1674,820260,490
2020,彩妆香水,面部彩妆,粉底液,蝶莲娜 Delena,蝶莲娜黑盖粉底液 宋轶小红书推荐持妆控油不卡粉遮瑕美颜保湿,620345471556,16697,818153,49
2020,彩妆香水,面部彩妆,粉底液,卡姿兰 Carslan,卡姿兰粉底液遮瑕保湿持久控油bb霜油皮干皮亲妈奶油肌李佳琦推荐,626282498632,9525,810830,85.1
2020,彩妆香水,面部彩妆,粉底液,OAC,OAC小灯泡粉底液遮瑕保湿持久控油养肤干皮油皮女学生平价奶油肌,601288917868,11710,810731,69.2
2020,彩妆香水,面部彩妆,粉底液,韩婵,网红cc棒水光亮肤保湿遮瑕bb霜持久光感气垫粉底液款化妆女,594562185909,57302,808875,14.1
2020,彩妆香水,面部彩妆,粉底液,珀莱雅 Proya,珀莱雅粉底液遮瑕保湿持久控油水润养肤干油皮泊莱雅官方旗舰店官,616996715422,12504,808724,64.7
2020,彩妆香水,面部彩妆,粉底液,珂莱欧 Clio,CLIO珂莱欧魔镜二代气垫bb霜网红遮瑕持久控油粉底液,557605787280,6587,801315,121.7
2020,彩妆香水,面部彩妆,粉底液,COMO,COMO粉底液遮瑕保湿持久控油持久粉底液霜干皮油皮学生平价周也,602798272121,6538,801182,122.5
2020,彩妆香水,面部彩妆,粉底液,雅漾 Avene,雅漾 焕彩遮瑕粉底液30ml遮瑕自然清爽裸妆粉底液霜护肤品女正品,521214010223,3296,799227,242.5
2020,彩妆香水,面部彩妆,粉底液,Bell Defines Beauty,bell保湿粉底液遮瑕持久控油敏感肌油皮干皮养肤平价粉底BB霜波兰,614006186221,14053,797309,56.7
2020,彩妆香水,面部彩妆,粉底液,赫妍 Hera,韩国赫妍卓然粉底液 hera气垫bb霜 裸妆遮瑕保湿防晒持久 正品,563345513717,2644,796172,301.1
2020,彩妆香水,面部彩妆,粉底液,美宝莲 Maybelline,美宝莲fitme粉底液遮瑕暇小样控油李佳琦推荐油皮学生平价旗舰店,590578872769,34558,787569,22.8
2020,彩妆香水,面部彩妆,粉底液,蜜丝佛陀 Maxfactor,【94元/盒】蜜丝佛陀粉底霜2盒遮瑕液提亮防水BB霜控油保湿学生,44506391068,5789,786089,135.8
2020,彩妆香水,面部彩妆,粉底液,魅可 M.a.c,【官方正品】MAC/魅可定制无瑕粉底液遮瑕保湿持久控油通透,614027224330,2439,780480,320
2020,彩妆香水,面部彩妆,粉底液,珀莱雅 Proya,珀莱雅insbaha粉底液干皮亲妈持久水润保湿BB遮学生平价直播w,611503687713,11909,775457,65.1
2020,彩妆香水,面部彩妆,粉底液,彩棠 Timage,【双11预售】TIMAGE彩棠燕窝粉底液遮瑕保湿持久轻薄养肤混油混干,625029783575,4122,774936,188
2020,彩妆香水,面部彩妆,粉底液,诗馨语,诗馨语粉底液遮瑕斑点保湿持久控油混干皮bb霜水润裸妆学生平价女,606441075140,10240,774767,75.7
2020,彩妆香水,面部彩妆,粉底液,滋色 Zeesea,ZEESEA滋色轻薄水润粉底液女保湿遮瑕控油裸妆持久粉底膏bb霜,601687944351,18784,773792,41.2
2020,彩妆香水,面部彩妆,粉底液,欧莱雅 L'oreal,欧莱雅提拉紧肤积雪草精华粉底液遮瑕保湿持久沁水官方旗舰店正品,535643250710,5216,773408,148.3
2020,彩妆香水,面部彩妆,粉底液,欧珀莱 Aupres,【立即抢购】欧珀莱紧颜滋养粉底液精华紧致滋润轻薄遮瑕女,593656445424,3027,772442,255.2
2020,彩妆香水,面部彩妆,粉底液,香奈儿 美妆 Chanel,【官方正品】CHANEL 香奈儿柔光持妆粉底液 小磨方自然遮瑕,598842284735,1284,770400,600
