年,一级品类,二级品类,三级品类,品牌,商品名,商品ID,销量(件),销售额(元),均价(元)
2020,彩妆香水,面部彩妆,粉底液,欧珀莱 Aupres,AUPRES/欧珀莱紧颜滋养粉底液紧致滋润精华防晒遮瑕粉底液女,589073570474,13857,2994619,216.1
2020,彩妆香水,面部彩妆,粉底液,Catrice,Catrice德国HD滴管水润清透粉底液30ml干皮长效遮瑕持久控油痘肌,568120263347,48795,2990952,61.3
2020,彩妆香水,面部彩妆,粉底液,科维曲 Couverturemp,科维曲矿物质精华粉底液遮瑕保湿持久控油干皮养肤bb霜女学生平价,578011808360,65940,2983083,45.2
2020,彩妆香水,面部彩妆,粉底液,瑷薇碧 Rvblab,RVBLAB粉底液遮瑕保湿持久不脱妆混油皮孕妇控油敏感肌养肤粉底霜,613966996834,10430,2908980,278.9
2020,彩妆香水,面部彩妆,粉底液,露华浓 Revlon,露华浓粉底液持久遮瑕24小时保湿控油干皮油皮奶油肌BB霜水润养肤,537154503873,38069,2866864,75.3
2020,彩妆香水,面部彩妆,粉底液,芭妮兰 Banila co,BanilaCO芭妮兰蜜桃粉底液遮瑕隔离保湿持久防汗旗舰店粉底化妆刷,599681379993,15309,2849284,186.1
2020,彩妆香水,面部彩妆,粉底液,欧莱雅 L'oreal,欧莱雅红帽子粉底液24小时持妆遮瑕保湿持久轻薄bb霜官方正品30ml,610990436162,12547,2831553,225.7
2020,彩妆香水,面部彩妆,粉底液,烙色 Lac,LAC烙色丝润高定粉底液隐形毛孔保湿遮瑕持久自然不脱妆亮肤轻薄,614237657996,57633,2829619,49.1
2020,彩妆香水,面部彩妆,粉底液,SUPERFACE,【专享】韩国Superface秀芭斐小黄盒气垫粉底液遮瑕持久,622038290197,12225,2760943,225.8
2020,彩妆香水,面部彩妆,粉底液,香奈儿 美妆 Chanel,【官方正品】CHANEL 香奈儿气垫水粉底度假系列SPF25/PA++ 遮瑕,617850406475,4980,2739000,550
2020,彩妆香水,面部彩妆,粉底液,娇兰 Guerlain,【双11狂欢】娇兰光透养肤小灯泡粉底液SPF20保湿遮瑕滋润,628269045354,5148,2734880,531.3
2020,彩妆香水,面部彩妆,粉底液,芭比波朗 Bobbi Brown,BOBBI BROWN芭比波朗虫草粉底液 遮瑕保湿持久 干皮养肤 倪妮同款,557805713931,4366,2706920,620
2020,彩妆香水,面部彩妆,粉底液,雅诗兰黛 Estee Lauder,雅诗兰黛 全新白金级宝石气垫 细腻贴妆保湿持久,609139679523,2813,2672350,950
2020,彩妆香水,面部彩妆,粉底液,滋色 Zeesea,ZEESEA滋色毕加索肌肽无瑕精华粉底液膏养肤遮瑕保湿持久轻薄bb霜,605648884653,36563,2666603,72.9
2020,彩妆香水,面部彩妆,粉底液,欧莱雅 L'oreal,欧莱雅红帽子粉底液遮瑕保湿持久轻薄bb霜学生官方正品30ml,608676733306,12084,2642083,218.6
2020,彩妆香水,面部彩妆,粉底液,圣罗兰 Yves Saint Laurent（ysl）,【会员9.9元付邮试用】恒颜粉底液1ml+明彩粉底液1ml+精华液 1ml,619013629313,265202,2625500,9.9
2020,彩妆香水,面部彩妆,粉底液,肌肤之钥 Cle de peau beaute,【入会加享】肌肤之钥CPB粉底 光缎粉底液30ml遮瑕持久轻薄,533105188452,2673,2619540,980
2020,彩妆香水,面部彩妆,粉底液,猫语玫瑰,猫语玫瑰粉底液干油皮亲妈水润保湿控油持久无暇平价遮瑕BB霜学生,581382143685,35902,2616735,72.9
2020,彩妆香水,面部彩妆,粉底液,芭妮兰 Banila co,BanilaCO芭妮兰蜜桃粉底液遮瑕隔离保湿持久不脱妆防汗旗舰店官网,609800920655,15686,2590979,165.2
2020,彩妆香水,面部彩妆,粉底液,深蓝彩妆 Bleunuit,深蓝 彩妆 正品感光无暇粉底膏霜油皮控油干皮水润保湿持久遮瑕液,35325284934,26096,2576161,98.7
2020,彩妆香水,面部彩妆,粉底液,圣罗兰 Yves Saint Laurent（ysl）,双11现金礼 反转巴黎1.2ml夜皇后7ml 精华水10ml恒久粉底液1ml*2,628116296500,25619,2561900,100
2020,彩妆香水,面部彩妆,粉底液,玫珂菲 Make Up For Ever,【双11狂欢】MAKEUPFOREVER玫珂菲黄明昊双11礼盒清晰无痕粉底液,602737012504,6644,2555310,384.6
2020,彩妆香水,面部彩妆,粉底液,乔治阿玛尼 Armani Beauty,【10.21提前加购】阿玛尼纯净持妆粉底液控油持妆亲肤不脱妆 正品,561838168630,4305,2500780,580.9
2020,彩妆香水,面部彩妆,粉底液,雅蔻 Artdeco,ARTDECO雅蔻粉底液控油养肤霜小黑帽轻薄遮瑕持久不脱妆油皮防水,614901077115,18672,2488177,133.3
